"Id","Distance.band","Distance.band.used.for.weighting","Urban.rural","Market","ISP","Technology","LLU","Headline.speed","Download.speed..Mbit.s..24.hrs","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","isp.weights","nat.weights"
"33",1412,"0-385","","Urban",2,"Virgin","Cable","Cable",60,61.1173,62.1552,60.4621,2.983,3.105,2.999,12.844,0.001,16.179,0,1.822,0.224,2.608,0.3,11.227,0.001,12.232,0,204.811,184.648,1,0.0184
"34",1417,"2563-5000","1992-5000","Rural",2,"BT","ADSL","Non-LLU",20,0.7647,0.8953,0.7641,0.67,0.882,0.664,24.149,0,24.302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,0.2188
"35",1421,"1143-1367","","Urban",3,"AOL","ADSL","Non-LLU",20,8.6663,9.7885,8.6775,0.904,1.013,0.889,40.309,0.001,40.043,0.003,0.919,0.961,1.039,1.05,35.815,0,36.155,0,604.634,579.96,NA,0.5318
"36",1422,"0-385","","Urban",1,"Plusnet","ADSL","Non-LLU",8,6.486,6.6756,6.2663,0.455,0.521,0.459,19.731,0,19.98,0,0.74,0.316,0.744,0.453,19.877,0.001,20.107,0,700.328,657.889,0,NA
"37",1426,"1635-1992","","Urban",3,"BT","FTTC","Non-LLU",80,53.7069,54.3025,53.5272,18.264,18.797,18.247,8.625,0,8.678,0,0.337,0.39,0.365,0.438,7.22,0,7.303,0.001,149.48,182.453,1,0.0338
"38",1428,"0-385","0-582","Urban",3,"BT","ADSL","Non-LLU",20,9.037,9.5944,8.983,0.847,1.012,0.86,28.251,0.002,28.336,0,0.687,0.407,0.678,0.442,27.01,0.001,27.276,0.003,544.6,547.753,0.65,0.0861
"39",1433,"1992-2563","","Urban",1,"BT","ADSL","Non-LLU",8,4.2112,4.3968,4.2026,0.397,0.449,0.398,30.189,0.001,30.397,0,1.395,0.793,1.911,0.786,29.824,0,30.11,0,1095.209,1247.649,0,0.0515
"40",1437,"0-385","0-473","Urban",3,"Sky","ADSL","LLU",20,15.5486,15.6553,15.6086,1.091,1.31,1.117,15.109,0.001,14.323,0.003,0.553,0.455,0.502,0.436,12.904,0,13.064,0,725.848,723.149,0.77,0.1303
"41",1439,"2563-5000","","Urban",1,"Sky","ADSL","LLU",8,2.8622,3.24,2.8982,0.99,1.221,0.973,22.321,0.002,22.844,0.003,0.539,0.475,0.522,0.457,12.138,0.002,10.201,0.005,1491.139,1421.232,0,0.0556
"42",1443,"1143-1367","","Urban",3,"BT","FTTC","Non-LLU",80,69.9297,71.5929,69.3116,18.507,18.995,18.441,13.076,0,13.147,0,0.346,0.42,0.43,0.6,12.62,0,12.501,0,185.393,198.946,1,0.018
