URBAN2,Nation,DL24hrmean,UL24hrmean,Latency24hr,Web24hr
3,Urban,#NULL!,71.213656,0.40857895,0.01
3,Urban,#NULL!,36.64356,0.42768421,0.01
3,Urban,#NULL!,54.326696,0.21064706,0.03
3,Urban,Distance band 12,6.983928,0.43510526,0.1
3,Urban,#NULL!,161.202944,0.82071429,0.32
3,Urban,#NULL!,209.91236,0.15331579,0.02
3,Urban,#NULL!,74.35468,0.31116667,0
3,Urban,#NULL!,37.180376,0.3837,0
3,Urban,Distance band 18,5.093168,0.51138889,0
3,Urban,#NULL!,70.27004,0.88041667,0.18
3,Urban,#NULL!,37.1906,0.54205,0.05
3,Urban,#NULL!,72.5826,0.59193333,0.04
1,Rural,#NULL!,2.892952,0.94205,0.05
,Rural,Distance band 1,6.668232,2.92466667,0.92
3,Urban,#NULL!,2.657352,1.0496,0.22
3,Urban,#NULL!,105.98504,0.1655,0.1
3,Urban,#NULL!,74.32316,0.77830769,0.02
3,Semi-urban,#NULL!,161.201728,0.16668421,0.02
3,Urban,#NULL!,107.428352,0.91605,0.72
3,Urban,#NULL!,37.32896,0.41152632,0.01
3,Semi-urban,#NULL!,54.018352,0.3141875,0
3,Semi-urban,#NULL!,105.926472,0.28713333,0
3,Semi-urban,#NULL!,65.72092,0.37595238,0
1,Rural,Distance band 16,7.438976,0.48775,0.21
1,Rural,Distance band 16,8.300128,0.44789474,0.03
3,Semi-urban,#NULL!,56.817424,0.74778947,0
3,Urban,#NULL!,72.591768,1.01180952,0.12
1,Rural,#NULL!,2.124728,0.559,0.86
3,Urban,Distance band 4,20.4242,0.34945455,0.09
3,Urban,#NULL!,54.721784,0.40305556,0.01
3,Urban,#NULL!,107.447848,0.21327273,0
3,Urban,#NULL!,54.683048,1.2148,0.5
3,Urban,#NULL!,74.201872,0.33877778,0.1
3,Urban,#NULL!,74.309816,0.44095,0
3,Urban,#NULL!,28.645184,0.356,0
3,Urban,#NULL!,67.16924,0.5143,8.81
3,Semi-urban,#NULL!,107.451912,0.24525,0
3,Urban,#NULL!,54.170608,0.65805882,0.01
3,Urban,#NULL!,54.0024,1.43466667,0
3,Urban,#NULL!,154.317192,1.351,0.01
2,Semi-urban,#NULL!,37.624672,0.394,0.02
1,Rural,#NULL!,20.648576,0.91110526,0.01
3,Urban,#NULL!,74.149808,0.622,0.01
3,Urban,#NULL!,70.8252,0.6912,0
3,Rural,#NULL!,2.789408,0.54957143,0.29
3,Rural,#NULL!,30.072656,0.48489474,0.06
3,Urban,#NULL!,37.17464,0.2976875,0.11
3,Urban,#NULL!,62.241416,0.44770588,0.13
1,Rural,#NULL!,70.61592,0.46706667,0.02
1,Rural,Distance band 20,3.533096,0.5075,0.02
,Urban,#NULL!,37.174056,0.608,0
3,Urban,#NULL!,37.349864,0.422625,0
3,Urban,#NULL!,55.740048,0.51480952,0
3,Urban,Distance band 15,7.865552,1.09733333,0.01
3,Urban,#NULL!,32.505928,0.46422222,0.03
2,Semi-urban,#NULL!,37.170016,1.00588235,0.01
2,Rural,#NULL!,1.222528,0.859,0.01
1,Rural,#NULL!,5.73516,0.6644,0.01
1,Rural,Distance band 20,12.844664,0.58625,0.07
3,Urban,#NULL!,27.507072,0.6891,0
3,Urban,#NULL!,207.82076,0.45375,0.02
3,Urban,#NULL!,37.489184,0.38325,0.02
3,Rural,#NULL!,11.35184,0.70088235,1.94
,Rural,#NULL!,1.893656,4.2476875,0.19
3,Rural,Distance band 20,8.969336,0.59327273,1.91
3,Urban,#NULL!,22.634792,0.99833333,0.04
2,Rural,#NULL!,37.949144,0.4565,0.01
3,Urban,#NULL!,37.175488,0.564,0.01
3,Urban,#NULL!,74.292952,0.55527778,0.05
2,Semi-urban,Distance band 2,20.424608,0.26942857,0.01
3,Urban,#NULL!,37.492368,0.58895238,0.01
2,Semi-urban,#NULL!,37.184904,0.99615385,0.01
2,Rural,#NULL!,2.670048,0.6,0
1,Semi-urban,#NULL!,74.33516,0.42763636,0
1,Rural,Distance band 20,14.864864,0.98815789,0.03
3,Urban,#NULL!,72.003368,0.184625,0.16
3,Urban,#NULL!,29.404408,0.4963,0
3,Urban,Distance band 15,7.522536,1.06888889,0.01
3,Urban,#NULL!,37.46388,0.38069231,0
3,Urban,#NULL!,59.744968,0.473,0.56
3,Urban,#NULL!,74.299944,0.36680952,0.31
3,Semi-urban,#NULL!,29.029448,1.38085714,0.01
1,Rural,#NULL!,45.842088,0.5329375,0.01
