URBAN2,Nation,DL24hrmax,UL24hrmax,Latency24hr,Web24hr
3,Urban,36.1474602,8.470969414,17.60925564,295.6346382
3,Urban,160.1851968,12.20002534,11.20667898,198.5952202
3,Urban,153.1158994,12.46369363,13.0184772,240.9316526
3,Urban,73.27196685,18.573229,7.23611616,177.2105491
3,Urban,15.82944093,1.002625334,14.17267822,337.1555556
3,Urban,65.83023108,18.83010579,22.38309145,270.7493884
3,Urban,73.08112967,18.23187694,11.98842891,307.6413806
3,Urban,36.34350342,9.23809212,9.8981582,509.3512414
3,Urban,36.81704092,9.504928123,13.34696045,237.394358
3,Urban,6.385299854,0.720894821,12.37121635,1128.926102
2,Urban,36.63443748,9.238994865,8.75383546,248.9256258
3,Urban,59.15715408,18.82597695,19.14906977,248.4745253
,Urban,8.770981682,0.949269818,25.48465527,966.9718984
1,Rural,71.87765826,18.51015368,7.95567564,193.0428742
,Urban,35.44717014,1.516700147,9.12614053,771.7516255
3,Urban,10.22991903,0.982604318,19.84738905,525.0200856
3,Urban,68.554672,18.44061014,10.38223898,154.0917013
3,Urban,15.11941313,1.06173903,10.35175571,587.1042241
3,Urban,60.10394466,16.96836994,7.39275887,147.7076633
3,Semi-urban,14.03762629,0.458531662,21.71081853,768.2742003
3,Semi-urban,13.62828307,0.678324091,20.43545274,2019.381655
1,Rural,47.80279633,17.66594626,10.29837808,273.4283353
3,Urban,74.70989247,17.08454999,5.71389392,294.6043177
3,Urban,69.82849229,16.96776802,7.92699858,143.1462201
3,Urban,135.2229064,10.56240434,11.35523349,225.0274758
3,Urban,30.37581514,3.009799351,10.57918045,311.5845601
3,Urban,8.40665696,0.768494909,23.22791607,570.635596
3,Urban,12.47575384,0.855116343,39.29624143,1065.550359
3,Urban,117.0478952,11.92022241,10.44952539,942.0084943
3,Urban,138.4619776,11.92140772,9.93040286,188.4987689
3,Urban,70.81435075,18.58246847,6.95258488,147.1925389
3,Urban,35.65170002,18.69399367,13.48760317,351.8515976
3,Urban,53.51558189,2.915406847,11.60183215,182.7380326
3,Urban,6.102398394,0.905081844,22.17507716,1015.75587
3,Urban,149.9411622,11.90257238,12.30517562,206.5719766
3,Urban,205.6150612,12.2795847,14.8456108,270.1845912
3,Urban,73.83944191,16.95009278,10.1883196,177.7976317
3,Urban,37.12205595,9.286035921,11.02835977,210.5401702
3,Urban,5.083212448,0.65458645,29.06252967,818.1358055
3,Urban,67.67172158,17.59598993,18.31677228,250.8107886
3,Urban,26.60862859,4.936641968,21.48331232,308.3360545
3,Urban,68.88661399,18.54780473,11.93499714,185.5940867
1,Rural,2.871599143,0.39470481,31.6236045,1367.456311
,Rural,4.271957482,0.882363634,18.716595,1799.892326
3,Urban,2.492883898,0.415162302,28.31990947,1647.67454
3,Urban,102.9684527,6.017269018,10.72052863,160.9093778
3,Urban,71.69941163,18.25957258,15.38044211,342.9640401
3,Semi-urban,159.3992814,12.19056075,12.60287249,230.1435723
3,Urban,88.25913846,5.690749669,22.01098707,312.1968657
3,Urban,36.13288358,5.827584952,13.14044646,377.2873339
3,Semi-urban,53.19497481,3.155671124,11.27900573,218.9607273
3,Semi-urban,103.1812996,6.235556545,11.45451591,228.8724736
3,Semi-urban,65.38047361,16.94277525,9.61258865,171.0604814
1,Rural,6.765677049,0.956900117,28.04755556,677.0872148
1,Rural,7.600782074,1.06509529,11.15240076,937.2246172
3,Semi-urban,54.23264336,16.12082599,12.51099574,181.8384364
3,Urban,70.28654099,15.92275856,13.13873901,200.9685592
1,Rural,2.832128,0.378546514,23.77085675,1600.438563
3,Urban,20.06541777,1.115349793,10.89679564,411.859701
