MarketClass,URBAN2,DL24hrmean,UL24hrmean,DNSRTT24hr,Latency24hr,Web24hr,iPlayerStartupDelay24hr
3,Urban,69.47540122,18.59051071,21.9089478,7.49667234,163.5577226,#NULL!
3,Urban,151.8048527,10.06555798,12.41157757,9.70075152,201.0183537,645
3,Urban,155.2368493,12.68098549,10.01625116,8.99283357,159.1190975,798
3,Urban,120.2353118,12.02623877,13.01712242,9.98677383,226.6312397,934
3,Urban,13.47542952,0.839919396,26.78152219,21.2863381,463.9521095,#NULL!
3,Urban,73.26188723,18.57159852,14.69525914,9.82488369,172.8039617,1089
3,Urban,5.158227803,0.401274966,65.73894008,53.95243436,1240.614784,4147
3,Urban,66.98352175,6.130352,11.78615957,13.69808616,226.8833492,755
3,Urban,8.404678116,0.986666076,21.57319905,16.30790592,876.2344729,2685
3,Urban,99.76064165,5.914060783,13.15614127,14.42730603,216.6501841,979
3,Urban,10.57662922,1.073144334,14.21156105,9.10075042,780.9031182,2066
3,Urban,8.259971292,0.757522154,30.68160532,23.29822532,679.9677557,#NULL!
3,Urban,47.46863038,3.00151228,12.14769847,12.56032708,214.8936745,975
3,Urban,20.48750513,2.681847186,23.3812003,16.39910448,446.6216325,1255
3,Urban,15.97110971,0.876068398,22.23836918,17.36912113,361.5566474,1778
3,Urban,6.047405193,0.684102286,26.82540758,25.49989506,1261.636541,3393
3,Urban,4.983652292,0.892440858,17.81908146,12.47478876,1029.297808,2612
3,Urban,36.7055096,9.27242179,14.71425203,10.93962731,261.9473754,2250
3,Urban,89.01361201,6.023207366,12.28209785,13.23157082,247.6807729,788
3,Urban,36.85203351,8.459748389,15.39370138,11.30830783,197.5688949,1100
3,Urban,62.62086539,16.52918451,16.04331381,11.08229037,250.4122371,#NULL!
3,Urban,25.61756097,1.860922529,42.34432246,27.66019527,654.9538312,1864
3,Urban,34.74493422,1.839526126,16.60659876,12.24619379,481.713064,1310
3,Urban,73.75448583,18.47848884,10.12180941,9.93617305,186.883066,1070
3,Urban,69.35219379,5.06742099,11.80730185,11.74640569,169.0536533,#NULL!
2,Semi-urban,74.1975202,18.58464555,22.01211518,12.69058499,195.3798088,#NULL!
3,Rural,37.09063326,9.265324542,17.62456142,13.36057464,210.3617997,#NULL!
3,Urban,74.00065299,18.56284971,18.10032359,12.61383129,210.4698159,1167
3,Urban,73.71618482,18.56510201,17.45506729,12.69596837,174.9368107,992
3,Urban,104.7865745,6.01847479,12.70083536,12.77924203,182.0534389,882
3,Urban,142.6169624,11.50146864,13.28586802,13.48183688,207.4587159,908
3,Urban,5.522350279,0.530147514,42.70281288,37.46380819,1595.970038,3881
3,Urban,189.347645,12.45265609,15.462993,14.60019449,252.8289978,740
3,Urban,53.99818627,2.9995329,27.89363455,20.0718271,311.4481095,#NULL!
3,Urban,145.4129016,12.00768471,12.85426002,14.32516738,201.5951581,961
3,Urban,97.57474924,5.978719101,16.97858234,14.63737949,216.0285688,1584
3,Urban,36.23284114,16.12675886,24.23517029,20.1622931,253.2646463,#NULL!
3,Urban,107.1580854,6.049430047,12.22748921,12.82648448,192.2831033,785
3,Urban,48.06008234,7.40963323,14.34725792,9.82873891,176.919869,887
3,Urban,53.8726346,3.007872366,13.42008005,14.06176856,248.6212974,918
3,Urban,102.3450697,6.220643171,16.28859325,13.36092206,236.2259146,664
3,Urban,74.23127709,18.95204306,13.83159479,10.56455966,296.5266996,2030
