Urban.rural,Market,Download.speed..Mbit.s..24.hrs,Upload.speed..Mbit.s.24.hour,DNS.resolution..ms.24.hour,Latency..ms.24.hour,Web.page..ms.24.hour
Urban,3,44.5035,10.006,13.975,11.94,212.191
Rural,1,1.073,0.369,38.706,34.872,3302.524
Rural,2,19.9271,0.976,21.418,17.635,428.429
Urban,3,52.3692,16.838,26.691,28.59,395.835
Urban,3,33.0097,6.631,20.616,20.292,309.046
Urban,2,37.2702,9.511,20.182,18.363,258.268
,0,36.9696,9.607,21.736,20.611,303.4
Urban,1,70.6321,17.255,22.123,21.293,286.872
Urban,3,30.221,6.055,23.465,21.966,311.269
Urban,3,27.8652,6.137,26.548,25.802,332.103
Urban,3,18.9074,0.906,18.741,18.241,359.355
Urban,3,55.5551,18.458,31.563,30.417,389.295
Rural,1,5.8751,0.377,38.632,26.161,745.588
Urban,3,65.7598,17.128,18.564,17.48,244.13
,0,17.7181,0.414,18.238,18.109,649.175
Urban,2,57.213,13.188,17.347,16.803,230.076
Urban,3,37.1128,9.479,12.561,11.597,198.613
Urban,3,59.4617,17.122,19.375,19.331,263.062
Rural,2,3.1497,0.365,45.09,44.478,1371.056
Urban,2,49.0408,18.546,11.088,11.684,182.81
Urban,3,11.4735,0.925,18.3,18.39,412.23
Urban,3,37.2285,10.027,9.056,5.763,238.315
Urban,3,36.7541,9.464,17.176,16.925,265.908
Urban,3,53.5401,18.403,23.16,22.386,303.794
Urban,3,34.9331,17.24,26.676,25.659,325.038
,0,5.5732,0.383,27.816,27.515,765.82
,0,11.2544,1.023,20.247,20.045,450.507
Urban,1,13.3312,0.985,15.153,13.032,422.996
Rural,3,3.2525,0.531,36.534,35.339,1321.984
,0,6.0235,0.394,50.496,48.936,1147.428
,0,6.7437,0.381,36.985,34.951,964.878
,0,19.1175,1.135,16.198,19.202,350.262
Urban,2,15.4143,1.004,27.803,26.641,469.664
,0,36.7902,1.861,22.049,13.39,231.545
Urban,2,55.4505,17.182,26.18,25.884,352.584
,0,5.7558,0.435,31.862,30.012,770.956
Urban,3,60.6297,18.544,15.972,14.322,215.142
,0,72.6149,18.61,9.779,8.157,143.829
Rural,1,4.2572,0.356,34.791,33.177,1174.06
Urban,3,70.1923,17.172,8.523,8.515,155.28
Urban,3,31.9911,9.43,18.415,13.319,274.479
Urban,3,9.4686,1.048,13.115,13.577,806.666
Urban,3,62.0485,3.011,13.712,9.379,174.463
Urban,3,59.9619,3.001,16.192,11.713,203.114
Urban,3,53.357,3.1,12.171,9.559,177.184
Urban,3,37.1752,9.976,12.156,10.476,191.597
Urban,3,53.7607,3.093,11.347,8.773,185.59
Urban,3,62.038,3.008,12.597,9.749,187.036
Urban,3,29.8969,1.967,11.769,9.32,446.521
Urban,3,46.0023,2.999,11.684,9.839,168.633
Urban,4,12.8804,0.794,27.201,26.903,476.606
Urban,2,3.2157,0.329,27.723,18.722,1203.602
Urban,3,16.6052,1.24,NA,11.225,NA
Urban,3,7.8382,0.916,19.42,11.602,521.012
Urban,4,2.2375,0.699,28.896,29.829,2085.489
Urban,4,7.3541,0.73,26.631,27.071,764.851
Urban,3,56.0234,18.188,16.901,16.294,226.94
Urban,4,4.091,0.479,30.323,29.33,1667.581
Urban,4,2.7615,0.674,24,25.291,1564.546
Urban,4,7.2466,0.729,23.916,25.144,663.513
Urban,4,56.2274,11.147,14.568,7.609,270.479
Urban,4,3.1196,0.629,24.798,26.949,1362.664
Urban,3,61.9524,3.008,12.85,11.172,231.199
Urban,3,101.7839,6.942,15.94,15.01,301.216
Urban,2,10.8889,1.211,17.86,13.443,NA
Urban,3,19.3985,6.806,35.315,20.903,623.639
Urban,3,52.8699,10.452,11.3,11.231,187.263
Urban,3,14.3657,1.164,21.852,14.561,588.027
Urban,3,12.7645,4.035,28.283,25.5,500.168
Urban,2,15.4209,0.967,21.112,13.712,379.281
Urban,3,5.9611,0.829,33.297,35.916,860.008
Urban,3,10.5254,0.871,18.263,17.548,465.956
Urban,2,18.7302,1.027,25.156,25.176,442.528
