"unit_id" "WT_national" "WT_ISP" "Valid_panel" "Pack_number" "Tech" "Plusnet_upload" "LLUvsNon" "MarketClass" "URBAN2" "Nation" "Dist_ADSL1" "Dist_ADSL2" "DL24hrmean" "DL24hrmax" "DLpeakmean" "DLpeakmax" "UL24hrmean" "UL24hrmax" "UL24hrmean_A" "UL24hrmax_A" "DNSFail24hr" "DNSFailPeak" "DNSRTT24hr" "DNSRTTPeak" "JitterUp24hr" "JitterUpPeak" "JitterDown24hr" "JitterDownPeak" "Latency24hr" "LatencyPeak" "PacketLoss24hr" "PacketLossPeak" "Web24hr" "WebPeak" "Disconnections" "YouTubeUHD24hr" "YouTubeHD24hr" "YouTubeSD24hr" "YouTubeFailed24hr" "YouTubeStartupDelay24hr" "YouTubeUHDPeak" "YouTubeHDPeak" "YouTubeSDPeak" "YouTubeFailedPeak" "YouTubeStartupDelayPeak" "NetflixUHD24hr" "NetflixHD24hr" "NetflixSD24hr" "NetflixFailed24hr" "NetflixStartupDelay24hr" "NetflixUHDPeak" "NetflixHDPeak" "NetflixSDPeak" "NetflixFailedPeak" "NetflixStartupDelayPeak" "iPlayerUHD24hr" "iPlayerHD24hr" "iPlayerSD24hr" "iPlayerFailed24hr" "iPlayerStartupDelay24hr" "iPlayerUHDPeak" "iPlayerHDPeak" "iPlayerSDPeak" "iPlayerFailedPeak" "iPlayerStartupDelayPeak"
"21" 2087 0.43 1.57 "Valid panelist" "BT 20" "ADSL2" "#NULL!" "Y" "1" "Rural" "Scotland" "#NULL!" "Distance band 10" 16.6321449248 17.671056 16.9134428384 17.639856 0.9972876976 1.107216 0.9945891616 1.107216 0.25 2.5 36.85846382 37.48489577 1.15482807 1.05353333 0.97366316 0.72835714 35.48279365 35.80658537 0.22 0.28 553.77359364 471.36372727 0.1 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"22" 660006 1.81 0.59 "Valid panelist" "BT 20" "ADSL2" "#NULL!" "Y" "1" "Rural" "Scotland" "#NULL!" "Distance band 20" 3.4607799656 4.084488 3.3818417144 4.071744 0.9420382904 1.120896 0.9356502856 1.058952 0 0 30.83929438 30.82198661 0.47133878 0.53261538 0.5240898 1.12591667 27.1775945 27.4576129 0.05 0.11 2031.980766 2122.490923 0.16 "0" "0" "1" "0" "1405" "0" "0" "1" "0" "1366" "0" "1" "0" "0" "2398" 0 0.9091 0.0909 0 2288.22715385 "0" "1" "0" "0" "3393" 0 0.5556 0.4444 0 4018.28207692
"23" 143278 0 0 "Valid panelist" "Plusnet 40" "FTTC 38" "10.0" "Y" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 28.4916476072 29.959616 28.6721035792 29.959616 8.5278646456 8.60304 8.5281385264 8.60304 0.2 0 38.43367464 38.42713636 0.26801858 0.2845 0.38743302 0.4317 33.66675455 33.7579 0.03 0 634.0176856 632.7818621 0.036 "0" "1" "0" "0" "792" "0" "1" "0" "0" "776" "1" "0" "0" "0" "1243" 1 0 0 0 1223.51595 "0" "1" "0" "0" "1659" 0 1 0 0 1676.59415
"24" 3616 2.46 1.18 "Valid panelist" "BT 20" "ADSL2" "#NULL!" "Y" "2" "Urban" "Scotland" "#NULL!" "Distance band 13" 5.3274383728 5.866088 5.413137 5.866088 0.9187671064 1.17912 0.924467 1.17912 0.06 0 35.03234473 36.11940291 0.44557716 0.46022222 0.40047692 0.37416667 26.92265523 28.11876316 0.12 0.15 966.61907296 805.3477 0.1 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"25" 2122 0.6 0 "Valid panelist" "BT 8" "ADSL1" "#NULL!" "Y" "1" "Rural" "Scotland" "Distance band 4" "#NULL!" 5.7948675712 6.86576 4.4461537776 6.79628 0.4075037232 0.512256 0.4110736 0.510328 0.07 0 54.3676874 59.69667797 1.33957609 1.40033333 0.80006545 2.09033333 50.54219038 53.04211538 0.02 0.01 996.11994291 1323.47619444 0.033 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"26" 143094 0 0 "Valid panelist" "BT 40" "FTTC 38" "#NULL!" "Y" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 35.1674191264 37.179488 34.8680582856 37.119456 9.3517892232 9.579376 9.333984 9.554168 0.03 0 29.89446134 30.12224796 0.56132164 0.58563158 0.3294152 0.38535 29.34081366 29.325925 0.01 0.01 591.9317108 586.3873333 0.033 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"27" 144220 0 0 "Valid panelist" "BT 40" "FTTC 38" "#NULL!" "Y" "1" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 37.0244873616 37.149144 36.8870582224 37.149144 9.2297950504 9.332728 9.23288 9.332728 0 0 32.28668971 32.42490286 0.33400309 0.33552632 0.30610494 0.3236 30.42843379 30.41682857 0.32 0.29 598.1778749 567.14025 0 "0" "1" "0" "0" "769" "0" "1" "0" "0" "774" "1" "0" "0" "0" "968" 1 0 0 0 957.83847368 "0" "1" "0" "0" "1728" 0 1 0 0 1823.6839
"28" 257826 0 0 "Valid panelist" "Sky 40" "FTTC 38" "#NULL!" "Y" "1" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 32.5368013688 36.431272 32.3941852 36.431272 9.344293428 9.41424 9.3388813336 9.404784 0.02 0 24.17571466 24.18005181 0.22921765 0.2298 0.3730826 0.22983333 19.09675 19.31363415 0.04 0.07 277.1648633 282.0532 0.3 "0" "1" "0" "0" "454" "0" "1" "0" "0" "469" "1" "0" "0" "0" "1074" 1 0 0 0 1114.34887805 "0" "1" "0" "0" "1313" 0 1 0 0 1359.0235122
"29" 813439 0 0.88 "Valid panelist" "Plusnet 20" "ADSL2" "#NULL!" "Y" "2" "Semi-urban" "Scotland" "#NULL!" "Distance band 4" 15.1994735552 16.398248 15.2495922 16.398248 1.0423787032 1.072672 1.0422958048 1.071512 0.02 0 40.02253043 39.82742543 0.60581138 0.59780952 0.48573952 0.40366667 34.56007081 34.63269231 0.05 0.01 452.75543647 433.29971795 0.2 "0" "1" "0" "0" "703" "0" "1" "0" "0" "795" "0" "1" "0" "0" "1396" 0.5789 0.4211 0 0 1639.20421053 "0" "1" "0" "0" "1803" 0 1 0 0 1917.84315
"30" 528720 0 0 "Valid panelist" "Other 40" "FTTC 38" "#NULL!" "N" "1" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 35.2920975208 37.709968 34.2137615608 37.593536 8.9118371512 9.093584 8.9165523904 9.06924 0.18 1.15 36.90150549 36.86247742 0.31310826 0.46405556 0.38131054 0.68345 34.3640156 35.886125 0.17 1.6 411.45945881 403.62205 0.767 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
