"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"159","",0,73.3145,17.075,21.413,21.241,275.844
"160","Rural",1,5.4964,0.43,50.454,48.944,1105.399
"161","Urban",3,45.1094,10.676,17.191,16.22,259.471
"162","Urban",2,10.9096,0.663,34.991,38.794,792.146
"163","Rural",1,12.2692,0.921,27.923,28.089,489.745
"164","Rural",2,1.4565,0.395,41.099,40.519,3236.397
"165","Rural",1,4.8519,0.395,44.034,42.805,924.045
"166","Rural",1,15.5669,0.82,29.865,19.642,1403.158
"167","Urban",3,63.4058,18.541,13.031,12.067,223.539
"168","Urban",3,10.4531,1.172,21.941,15.222,441.143
"169","Urban",2,4.4676,1.034,38.228,32.558,1025.673
"170","Rural",1,2.2359,0.434,46.761,46.021,1894.105
"171","Urban",3,7.2549,0.769,9.433,8.309,729.075
"172","Urban",1,7.7305,1.189,66.658,58.46,1200.146
"173","Urban",3,70.7397,18.67,22.426,21.611,298.872
"174","Urban",3,36.7473,10.026,19.22,16.139,254.3
"175","",0,19.2834,1.872,22.447,22.603,356.423
"176","Urban",3,51.853,11.339,16.657,16.027,243.489
"177","Urban",3,2.3929,0.618,NA,50.566,NA
"178","Urban",3,2.8154,0.057,54.387,44.394,5095.089
"179","Urban",3,8.1914,0.79,42.009,31.847,1349.845
"180","Urban",3,1.5353,0.641,40.279,44.027,2463.273
"181","Urban",3,32.5326,2.09,21.123,11.816,260.906
"182","Urban",3,19.1258,1.098,22.564,14.191,538.817
"183","Urban",3,2.4201,0.691,49.714,33.832,1686.005
"184","Urban",3,35.3312,9.9,24.994,26.349,359.834
"185","Urban",3,22.6744,4.102,21.689,20.667,330.551
"186","Urban",3,6.2461,0.866,31.111,23.01,1077.138
"187","Rural",3,29.0516,8.816,37.157,36.102,464.109
"188","Urban",3,39.8841,18.85,9.698,10.173,192.41
"189","Urban",3,65.0503,15.514,16.565,14.756,248.837
