"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"908","Rural",2,5.2004,0.936,15.1,11.826,898.343
"909","Rural",1,1.3074,0.391,45.369,37.388,2885.293
"910","Rural",1,5.8464,0.377,27.714,27.148,781.39
"911","Urban",2,7.4898,0.914,19.502,18.164,575.074
"912","Rural",1,0.9052,0.24,30.518,25.539,4072.451
"913","Rural",4,13.5806,0.858,12.177,13.111,456.796
"914","Urban",3,67.6645,18.235,10.589,10.281,184.684
"915","Urban",4,7.4287,0.749,27.711,29.121,760.195
"916","Urban",3,2.88,0.374,30.464,30.52,1377.01
"917","Urban",3,14.9053,0.98,32.936,16.701,756.175
"918","Urban",3,48.2011,17.394,18.781,18.516,262.978
"919","Urban",3,11.776,0.794,32.178,28.276,725.004
"920","Urban",3,19.1227,3.404,20.153,19.217,335.284
"921","Urban",3,16.198,0.929,31.485,22.33,455.105
"922","Urban",3,16.0155,0.896,16.992,14.01,NA
"923","Rural",1,1.2165,0.392,42.441,32.521,2969.72
"924","Rural",1,4.317,0.396,50.577,43.91,1034.346
"925","Rural",1,2.4086,0.713,45.457,38.46,1966.073
"926","Rural",1,6.1696,0.389,28.713,26.324,731.669
"927","Rural",1,5.6827,0.377,28.499,27.448,1558.194
"928","Rural",1,1.6678,0.641,NA,13.216,NA
"929","Urban",3,9.674,1.043,20.569,14.267,463.836
"930","Rural",2,27.5951,7.391,26.866,20.432,541.266
"931","Urban",3,16.6755,1.009,8.718,7.769,298.203
"932","Urban",2,64.0128,17.344,20.067,18.935,256.076
"933","Urban",3,34.2514,1.712,14.677,13.744,213.924
"934","Urban",3,0.594,0.357,34.964,34.408,5800.228
"935","Urban",3,69.3801,18.599,16.105,15.332,216.654
"936","Rural",1,11.7071,0.773,26.057,25.901,438.34
"937","Urban",3,16.2101,1.004,27.714,27.339,410.262
"938","Urban",3,61.1957,15.973,14.724,14.463,213.17
"939","Urban",1,13.5536,1.036,21.77,21.164,484.76
"940","Urban",3,0.8355,0.381,33.117,31.261,4200.118
"941","",0,13.8565,0.952,10.147,9.701,341.304
"942","Urban",1,9.4629,0.97,19.066,19.737,1873.874
"943","Rural",2,26.979,4.272,10.044,10.107,222.482
"944","Urban",3,71.8468,17.159,8.583,8.576,158.557
"945","Urban",3,19.644,5.265,21.364,20.038,311.054
"946","Urban",3,27.0387,5.26,14.03,14.285,253.75
"947","Urban",3,35.9088,8.734,18.384,18.527,252.758
"948","Urban",3,71.3614,17.216,13.349,13.026,207.978
"949","Urban",3,63.6021,17.217,14.901,14.789,199.969
"950","Urban",3,35.6297,8.725,21.623,20.569,291.938
"951","Urban",3,36.4389,18.592,12.463,11.761,203.099
"952","Urban",3,57.7757,18.589,6.854,6.402,201.269
"953","Urban",1,15.1098,0.839,16.874,20.349,440.658
"954","Urban",3,37.2132,9.623,23.575,19.636,270.175
"955","Rural",2,37.1072,9.671,25.373,21.108,261.457
"956","Rural",1,14.1358,0.322,30.919,36.565,950.219
"957","Urban",2,3.5974,0.367,30.661,32.14,1206.437
"958","Urban",3,3.574,0.818,17.912,15.51,1284.585
"959","Urban",3,5.3891,1,NA,10.266,NA
"960","Urban",2,40.5887,16.441,16.542,16.344,228.461
"961","Urban",3,61.8191,17.042,9.711,9.337,149.67
"962","Urban",3,71.9009,18.573,11.087,10.974,185.05
"963","Urban",3,56.7519,17.606,28.613,26.864,345.727
"964","Urban",3,54.0874,14.039,21.846,21.897,313.965
"965","Urban",2,70.1636,18.508,10.383,10.11,156.944
"966","Urban",3,70.8565,16.946,16.228,15.245,223.284
"967","Urban",3,5.7731,0.91,9.159,9.439,714.938
"968","Urban",1,31.8209,6.234,14.387,13.306,235.801
"969","Rural",1,2.0541,0.398,63.334,60.554,2015.846
"970","Rural",2,4.9507,0.424,32.886,32.087,875.101
"971","Urban",3,37.1648,5.944,21.264,14.404,241.587
"972","Urban",3,36.8574,8.653,12.842,11.952,199.555
"973","Urban",3,6.574,1.141,23.115,21.806,953.397
"974","Urban",3,61.7428,18.577,27.714,27.333,357.963
"975","Urban",3,37.2722,9.438,9.37,6.213,269.163
"976","Urban",3,8.8214,0.931,30.642,30.184,577.891
"977","Urban",3,37.2999,8.797,13.447,11.187,229.78
"978","Urban",3,12.7115,0.792,28.254,21.741,447.462
"979","Urban",3,74.5977,17.22,NA,7.593,NA
"980","Urban",3,2.8772,0.27,43.539,33.71,2077.177
"981","Urban",2,4.1997,0.753,35.988,28.941,966.633
"982","Urban",3,36.8891,1.923,NA,11.802,NA
"983","Urban",3,4.2222,0.829,39.218,37.641,1128.036
"984","Urban",3,6.1339,0.536,27.465,27.408,712.663
"985","Urban",3,10.4481,0.81,NA,23.813,NA
"986","Urban",3,15.6476,0.851,20.614,23.616,462.026
"987","Urban",1,36.8035,9.197,11.415,10.192,181.729
"988","",0,58.8322,17.633,21.435,21.133,259.598
"989","Urban",3,70.5853,17.203,14.899,14.652,192.916
"990","Urban",3,53.6806,3.062,13.381,15.058,244.775
"991","Rural",1,36.9569,9.317,18.114,16.475,234.281
"992","Urban",3,68.2057,18.592,11.165,10.837,190.768
"993","Urban",3,32.5076,1.975,12.616,9.653,181.584
"994","Urban",3,53.7207,3.068,12.537,19.945,259.081
"995","Urban",3,32.6274,1.963,11.708,8.412,260.57
"996","Urban",3,46.6955,18.579,14.578,14.13,220.714
"997","Rural",1,6.2673,0.411,NA,15.892,NA
"998","Rural",1,6.8424,0.38,26.367,24.714,705.736
"999","Rural",1,54.6215,15.761,24.055,22.776,355.9
"1000","Urban",3,68.6796,18.523,8.795,8.877,190.904
"1001","Urban",3,7.9339,0.713,37.816,27.883,701.672
"1002","Urban",3,50.4482,13.295,13.978,14.564,241.714
"1003","Urban",3,133.3132,20.479,13.807,20.816,200.949
"1004","",0,73.1945,20.58,15.313,13.199,206.058
"1005","Urban",1,17.0406,1.106,16.035,15.605,327.566
"1006","Urban",1,13.1368,1.005,30.481,29.639,596.864
"1007","Urban",3,32.188,17.252,20.562,19.475,295.619
"1008","Urban",3,49.1221,12.563,22.718,23.015,327.622
"1009","Rural",3,34.8623,6.218,32.204,31.049,390.268
"1010","Rural",1,37.1325,6.771,36.275,35.143,404.539
"1011","Rural",1,4.2035,0.373,41.075,39.991,1726.99
"1012","",3,37.3321,8.843,22.298,19.078,249.62
"1013","Urban",3,73.6786,17.348,9.897,8.664,151.862
"1014","Urban",4,5.8494,0.726,26.013,24.721,802.489
"1015","Rural",3,66.0942,18.563,17.086,16.417,254.257
"1016","Urban",3,12.2698,0.905,32.351,26.054,NA
"1017","Urban",3,6.2978,1.117,32.658,14.523,1083.66
"1018","Urban",3,16.114,1.25,21.35,14.821,547.262
"1019","Urban",1,15.8814,1.049,14.863,14.16,371.526
"1020","Urban",3,17.7008,2.184,9.715,9.544,271.559
"1021","Urban",3,69.9002,17.339,12.323,11.365,200.908
"1022","Urban",3,34.7068,9.372,13.696,13.606,248.561
"1023","Urban",3,54.7745,17.138,13.689,13.924,238.991
"1024","Rural",1,5.7455,0.501,33.417,33.477,911.813
"1025","Rural",1,6.3678,0.393,18.905,18.802,705.753
"1026","Urban",2,57.1898,17.298,11.872,11.985,219.8
"1027","Urban",3,27.5845,4.11,30.675,30.585,440.332
"1028","Urban",3,72.1772,17.191,11.248,11.722,223.429
"1029","Urban",3,70.0787,17.311,9.599,8.669,202.611
"1030","Urban",3,70.7129,18.577,6.982,6.775,169.386
"1031","Urban",3,58.1731,15.803,14.08,12.911,271.458
"1032","Urban",3,37.3389,9.526,7.017,4.794,281.166
"1033","Urban",3,6.508,1.078,17.371,18.515,1008.394
"1034","Urban",3,104.8453,12.192,13.996,9.978,246.275
"1035","Urban",3,120.8885,12.025,11.749,9.108,171.377
"1036","Urban",3,125.5147,11.737,15.336,9.805,223.572
"1037","Urban",3,146.0937,12.282,14.54,12.987,293.989
"1038","Urban",3,114.8412,11.349,14.701,12.501,233.873
"1039","Urban",3,150.3676,12.103,14.493,13.764,218.259
"1040","Urban",3,119.4231,11.343,16.444,13.518,237.695
"1041","Rural",3,1.6313,0.829,28.12,35.355,2153.236
"1042","Urban",3,125.8522,12.099,12.975,14.068,247.138
"1043","Urban",3,88.3871,6.037,26.373,22.811,315.559
"1044","Urban",3,118.3121,11.496,13.827,13.948,249.932
"1045","Urban",2,111.2562,11.404,13.195,11.876,214.047
"1046","Urban",3,141.2235,12.225,15.452,14.033,272.205
"1047","Urban",3,133.7296,11.873,12.888,9.679,167.723
"1048","Urban",3,146.7311,12.031,11.638,9.138,201.221
"1049","Urban",3,134.7779,12.229,13.276,14.689,263.013
"1050","Urban",3,145.2567,11.188,12.067,12.23,243.558
"1051","Urban",3,138.6191,11.855,17.037,10.99,212.045
"1052","Urban",3,144.7458,12.103,14.11,13.707,232.099
"1053","Urban",3,31.1786,2.224,13.84,10.227,257.639
"1054","Urban",3,104.6204,6.196,14.126,11.217,207.757
"1055","Urban",3,18.5321,1.161,8.935,5.98,619.209
"1056","Urban",3,114.835,11.576,17.097,15.209,242.663
"1057","Urban",3,104.6821,6.2,12.725,9.794,188.578
"1058","Urban",3,15.7269,1.579,35.537,34.944,522.001
"1059","Urban",3,23.1865,4.572,8.332,7.804,274.77
"1060","Urban",3,51.0802,17.092,10.305,7.895,561.093
"1061","Urban",3,71.4629,18.485,19.625,18.526,221.111
"1062","Urban",3,133.3997,11.887,19.788,14.824,445.26
"1063","Urban",3,38.5694,6.394,15.693,14.183,229.458
"1064","Urban",3,13.6386,1.076,8.198,6.326,800.771
"1065","Urban",3,37.0668,1.842,23.532,15.583,250.47
"1066","Rural",1,1.7472,0.461,56.144,57.707,2451.674
"1067","Urban",3,47.9703,11.555,20.411,10.161,220.085
"1068","Urban",3,15.4766,0.919,17.734,18.042,345.828
"1069","Urban",3,5.4582,0.851,34.491,29.076,1125.962
"1070","Urban",3,53.8044,3.049,12.575,10.109,195.474
"1071","Urban",3,34.2822,7.033,26.419,26.302,395.438
"1072","Urban",1,32.9258,1.959,16.107,14.657,251.586
"1073","Urban",3,53.4628,3.153,14.637,13.677,279.703
"1074","Urban",2,16.7873,0.909,18.212,17.389,349.393
"1075","Urban",3,111.5186,11.686,17.629,10.586,233.224
"1076","Urban",3,61.3864,16.97,11.902,11.069,157.253
"1077","Rural",2,1.0598,0.382,49.204,38.961,3075.636
"1078","Urban",3,33.1248,1.848,24.346,15.632,235.002
"1079","Urban",3,1.1954,0.629,34.475,38.355,3082.58
"1080","Urban",3,12.6334,1.171,NA,17.212,NA
"1081","Urban",3,117.6758,12.027,12.339,9.623,267.229
"1082","Urban",3,9.0792,1.031,16.396,14.171,807.095
"1083","Urban",3,133.8451,11.801,21.066,21.941,357.539
"1084","Urban",3,73.3177,18.591,18.748,17.749,223.992
"1085","Urban",4,13.3196,0.57,28.222,27.657,823.077
"1086","Urban",3,147.9444,11.968,15.293,12.955,214.619
"1087","Urban",3,1.7576,0.637,22.594,21.712,2027.188
"1088","Urban",3,50.9567,9.705,14.944,14.013,214.14
"1089","Urban",3,4.8474,0.944,33.199,29.334,1143.222
"1090","Urban",3,168.6976,20.658,11.291,11.101,165.164
"1091","Urban",3,53.98,18.371,9.693,9.8,233.442
"1092","Urban",3,53.8126,9.761,20.666,18.073,2124.376
"1093","Urban",3,53.6184,3.028,14.592,13.047,237.085
"1094","Rural",1,6.4686,0.37,33.822,32.907,721.174
"1095","Urban",3,55.233,12.882,20.809,20.281,315.197
"1096","Urban",3,50.0191,13.735,8.66,7.249,145.83
"1097","Urban",3,37.2575,9.694,15.736,11.72,229.443
"1098","Urban",3,100.8471,11.473,11.007,7.899,204.316
"1099","Urban",3,116.6168,11.681,18.561,18.049,317.828
"1100","Urban",3,148.2836,12.139,14.027,17.642,304.769
"1101","Urban",3,35.1826,6.926,22.503,18.663,263.775
"1102","Rural",1,3.2336,0.726,35.189,35.647,1474.875
"1103","Urban",3,117.8908,11.635,11.073,12.662,226.301
"1104","Urban",3,121.8481,12.157,10.937,8.404,184.443
"1105","Rural",3,63.7546,18.535,14.446,13.674,211.613
"1106","Urban",3,62.2564,17.405,13.458,13.069,185.094
"1107","Urban",3,56.4341,15.358,20.182,18.415,218.262
"1108","Urban",3,5.7764,0.33,31.531,30.079,935.625
"1109","Urban",1,36.3713,8.405,11.484,10.313,185.627
"1110","Rural",1,5.4099,0.372,49.898,50.132,925.801
"1111","Urban",3,150.6448,12.259,18.075,19.836,341.439
"1112","Urban",3,36.1083,6.284,17.51,17.916,270.98
"1113","Urban",3,8.6733,1.099,16.284,14.329,879.422
"1114","Urban",2,18.3421,0.923,18.994,18.057,404.936
"1115","Urban",3,72.513,17.753,22.847,21.707,268.63
"1116","Urban",2,8.3007,0.971,14.886,14.193,491.46
"1117","Urban",3,51.7456,3.168,19.364,18.435,279.357
"1118","Urban",3,35.7522,1.843,12.028,15.378,236.788
"1119","Urban",3,43.632,9.559,22.277,21.973,286.748
"1120","Urban",3,61.066,16.308,9.521,8.536,212.354
"1121","Urban",3,22.4478,4.195,25.769,21.506,323.747
"1122","Urban",3,60.7311,18.56,13.045,12.267,180.283
"1123","Urban",3,39.3358,12.375,17.466,17.823,263.23
"1124","Rural",1,2.7141,0.634,33.223,33.046,1458.134
"1125","Urban",3,49.1701,2.987,30.479,24.139,356.08
"1126","Urban",3,37.0486,8.919,18.119,14.867,240.554
"1127","Urban",3,19.5826,1.143,18.429,10.873,265.787
"1128","Urban",3,37.3248,9.692,14.61,11.036,229.993
"1129","Urban",3,32.5483,7.556,13.124,9.007,NA
"1130","Urban",3,54.1316,3.055,10.894,7.944,170.62
"1131","Rural",3,4.3224,0.858,22.927,15.553,982.592
"1132","Urban",3,28.8522,7.115,27.853,18.452,334.977
"1133","Urban",2,66.0733,18.585,32.138,31.751,351.812
"1134","Urban",3,30.3235,1.976,22.418,18.023,309.084
"1135","Rural",1,2.4598,0.532,14.042,13.587,1469.122
"1136","Urban",3,15.6088,0.962,10.251,6.728,584.854
"1137","Urban",3,36.7282,7.181,8.887,7.658,168.859
"1138","Urban",3,34.0051,7.664,21.47,21.733,281.218
"1139","Urban",3,57.4093,18.558,9.941,9.499,166.267
"1140","Urban",3,7.4606,0.621,24.052,17.109,837.688
"1141","Rural",1,2.78,0.366,41.661,40.052,1399.436
"1142","Urban",2,12.3666,0.792,20.909,22.576,441.992
"1143","Urban",3,95.1536,12.738,13.27,12.491,177.163
"1144","Urban",3,74.2567,21.349,11.737,10.177,173.496
"1145","Urban",1,32.834,1.966,17.329,13.178,254.392
"1146","Urban",3,35.2579,9.288,17.923,12.076,451.959
"1147","Urban",3,34.0186,18.282,21.613,21.615,311.962
"1148","Urban",3,55.9319,18.479,12.22,12.094,166.302
"1149","Urban",3,54.0814,2.582,15.035,12.649,257.792
"1150","Urban",3,72.9172,16.955,14.18,13.461,177.316
"1151","Urban",3,66.4246,16.943,26.194,25.686,300.3
"1152","Urban",3,47.6064,5.995,15.035,14.956,208.854
"1153","Urban",3,54.1513,3.063,14.453,17.123,221.548
"1154","Urban",3,143.9353,12.79,19.092,21.357,319.651
"1155","Urban",3,144.1833,12.655,18.491,14.304,237.016
"1156","Urban",3,108.052,11.412,11.416,8.397,153.533
"1157","Urban",3,153.3066,11.992,9.539,7.202,180.952
"1158","Urban",3,101.8379,10.018,12.161,9.152,168.646
"1159","Urban",3,118.8376,10.166,33.455,15.199,338.678
"1160","Urban",3,140.0847,11.491,13.54,11.723,195.502
"1161","Urban",3,118.3273,11.171,20.304,13.814,213.72
"1162","Urban",3,55.2878,18.416,25.388,24.941,298.404
"1163","Rural",1,1.6685,0.378,31.494,28.807,2388.308
"1164","Urban",3,69.6338,18.469,9.449,8.97,174.079
"1165","Urban",3,26.8496,6.275,27.51,27.189,345.697
"1166","Urban",3,53.2674,17.683,19.422,19.557,308.575
"1167","Urban",3,35.4278,8.043,15.757,14.349,207.856
"1168","Urban",3,37.2449,9.694,15.107,7.936,247.79
"1169","Urban",3,72.1058,20.698,11.854,11.131,151.952
"1170","Urban",3,130.618,12.707,12.028,8.932,185.652
"1171","Urban",3,77.2533,11.388,11.63,10.605,159.714
"1172","Urban",3,43.8573,11.934,19.739,18.118,220.788
"1173","Urban",3,105.3552,12.753,18.055,19.746,312.597
"1174","Urban",3,34.3503,6.355,8.025,8.113,195.329
"1175","Urban",1,62.9261,16.318,12.815,12.784,182.099
"1176","Urban",3,74.9473,20.804,8.771,8.094,175.508
"1177","Rural",3,49.9059,11.071,16.84,15.806,214.718
"1178","Urban",2,14.5284,1.205,22.607,15.235,745.368
"1179","Urban",3,70.8312,18.548,12.199,12.366,190.661
"1180","Rural",1,5.68,0.675,30.001,29.484,404.454
"1181","Rural",1,1.846,0.575,31.43,30.755,1958.93
"1182","Rural",1,6.1101,0.673,47.089,47.363,869.467
"1183","Urban",2,32.3569,6.342,17.449,17.503,245.79
"1184","Urban",3,51.3841,2.402,11.216,9.001,186.041
"1185","Urban",3,53.3507,2.982,15.607,9.323,175.852
"1186","Urban",3,12.5313,1.1,10.035,6.857,774.014
"1187","Urban",2,53.9449,16.265,10.218,10.396,161.25
"1188","Urban",3,152.4552,12.532,14.299,10.689,197.806
"1189","Urban",2,66.7789,13.775,16.609,16.96,225.011
"1190","Urban",0,72.6258,18.572,11.651,11.63,151.131
"1191","Urban",3,61.7659,18.561,13.274,12.376,169.006
"1192","Urban",3,55.1467,17.125,16.614,16.263,206.622
"1193","Urban",3,13.3117,1.496,14.843,14.494,731.805
"1194","",0,37.3095,14.13,17.576,16.559,244.683
"1195","Urban",3,74.6407,18.637,11.897,9.699,149.955
"1196","Urban",3,51.6683,17.11,14.78,14.175,193.935
"1197","Urban",3,72.0372,18.61,13.435,13.657,170.652
"1198","Urban",3,70.7254,18.498,18.983,19.151,246.17
"1199","Urban",3,61.3435,2.912,15.367,8.419,153.581
"1200","Urban",3,32.1624,9.265,NA,9.593,NA
"1201","Urban",3,100.5945,11.171,13.873,11.661,162.678
"1202","Urban",3,158.6855,12.758,13.252,9.249,188.297
"1203","Urban",3,117.3654,11.38,18.803,12.674,182.598
"1204","Urban",3,143.8597,12.705,12.86,11.261,245.602
"1205","Urban",3,108.1357,12.185,15.416,16.551,253.215
"1206","Urban",3,94.2203,11.878,16.335,16.936,272.941
"1207","Urban",3,116.7026,11.552,18.138,14.321,222.71
"1208","Urban",3,37.3253,7.124,16.605,12.572,224.571
"1209","Urban",3,37.1042,9.02,11.727,10.363,169.52
"1210","Urban",3,142.4788,11.905,14.654,9.263,188.904
"1211","Urban",3,101.0174,12.62,15.433,11.58,221.187
"1212","Urban",3,159.1547,12.77,17.776,15.189,262.89
"1213","Urban",2,138.5348,12.737,14.558,10.232,208.09
"1214","Urban",3,152.4453,12.696,14.241,13.034,230.75
"1215","Urban",3,14.0615,1.114,10.149,7.011,757.976
"1216","Urban",1,12.4451,0.794,22.496,27.255,693.714
"1217","Urban",3,53.8749,3.049,12.127,9.196,155.286
"1218","Urban",3,34.4567,6.25,17.406,16.96,245.048
"1219","Urban",3,54.1527,3.047,12.599,9.211,175.145
"1220","Urban",3,37.01,6.255,14.924,13.448,205.611
"1221","Urban",3,28.6242,1.981,12.717,13.488,274.48
"1222","Urban",3,36.9752,9.719,13.751,13.225,224.035
"1223","Urban",3,53.2818,3.052,12.221,8.67,159.67
"1224","Urban",3,51.7511,3.015,20.661,19.075,316.694
"1225","Urban",3,30.2605,1.973,12.304,10.966,213.01
"1226","Urban",2,30.5375,1.977,15.105,11.964,236.52
"1227","Urban",3,53.73,3.052,12.074,8.592,192.711
"1228","Urban",3,35.05,1.921,NA,24.032,NA
"1229","Urban",3,70.025,16.285,16.036,15.751,228.735
"1230","Urban",3,22.1909,6.753,23.217,14.373,285.432
"1231","Urban",2,57.7843,17.65,24.386,23.569,277.301
"1232","Urban",3,53.5571,2.997,14.222,14.768,215.602
"1233","Urban",3,73.461,16.939,20.497,20.187,251.018
"1234","Rural",3,1.4377,0.496,37.709,76.468,2699.174
"1235","",0,51.6393,2.722,20.313,30.816,302.081
"1236","Urban",3,6.7442,0.694,49.396,39.448,728.818
"1237","Urban",3,70.9675,17.19,16.961,16.964,245.158
"1238","Urban",2,71.7256,17.764,NA,14.525,NA
"1239","Urban",3,7.3261,0.54,44.494,31.805,882.831
"1240","Rural",1,1.8877,0.376,54.224,49.376,2042.41
"1241","Urban",2,37.2387,9.498,16.478,14.088,238.726
"1242","Urban",3,73.4737,18.587,14.103,13.547,210.812
"1243","Urban",3,32.6553,1.834,23.438,16.425,234.891
"1244","Urban",3,42.6395,9.323,12.995,11.367,185.218
"1245","Urban",3,2.407,0.375,33.293,32.823,1551.338
"1246","Urban",3,15.488,0.931,21.223,15.057,527.898
"1247","Urban",3,63.711,17.277,23.866,22.251,282.571
"1248","Urban",3,45.6124,13.63,25.367,23.12,316.361
"1249","Urban",3,19.8545,3.496,17.19,15.32,283.725
"1250","Urban",3,69.6039,18.51,11.371,10.886,156.201
"1251","Urban",3,24.0395,6.345,17.136,16.29,246.843
"1252","Urban",3,13.6412,1.104,15.918,11.829,795.062
"1253","Urban",3,66.738,18.558,8.314,8.015,240.001
"1254","Urban",3,56.7227,17.138,23.551,22.828,259.88
"1255","Urban",3,29.3197,7.201,NA,20.614,NA
"1256","Urban",3,63.179,18.536,21.752,21.348,260.115
"1257","Urban",3,70.6146,17.026,8.329,8.158,206.036
"1258","Urban",3,153.3364,10.228,12.861,9.989,163.736
"1259","Urban",3,68.3751,17.302,18.376,18.064,237.106
"1260","Urban",3,57.2303,17.263,14.904,14.649,218.232
"1261","Urban",3,46.5314,14.548,12.772,12.72,199.113
"1262","Rural",2,37.2623,9.692,25.388,21.142,270.598
"1263","Urban",3,19.4775,1.036,21.299,20.619,398.534
"1264","Urban",3,58.9096,18.593,26.77,25.679,306.948
"1265","Urban",3,48.3252,9.768,28.979,27.492,343.483
"1266","Urban",3,70.5496,18.587,13.486,13.217,195.36
"1267","Urban",2,70.9672,18.554,12.221,11.937,205.882
"1268","Urban",3,34.3027,1.719,16.269,17.421,279.59
"1269","Urban",2,64.5767,17.282,25.144,24.063,294.138
"1270","Urban",3,36.8831,8.786,21.746,21.014,259.51
"1271","Urban",3,66.6295,17.367,19.889,19.243,263.641
"1272","Urban",3,50.9771,18.639,20.1,19.541,260.841
"1273","Urban",3,11.4704,1.025,26.285,26.162,475.241
"1274","Urban",3,65.2188,18.566,6.661,6.341,220.03
"1275","Urban",3,74.1168,18.585,7.554,6.171,178.252
"1276","Urban",3,37.0339,9.313,17.869,16.649,252.838
"1277","Urban",3,15.0919,18.578,15.808,15.668,354.338
"1278","Rural",3,1.963,0.506,39.622,37.297,2023.623
"1279","Urban",3,47.6912,11.871,19.523,18.264,254.601
"1280","Urban",3,70.1645,18.579,19.422,18.439,290.753
"1281","Urban",3,60.6797,3.003,11.397,10.39,181.843
"1282","Urban",3,62.7207,18.661,16.61,16.509,211.201
"1283","Urban",2,9.6211,1.036,17.563,14.222,913.612
"1284","Urban",3,20.8982,3.726,34.539,31.505,NA
"1285","Urban",2,138.1698,12.749,14.394,14.452,249.295
"1286","Rural",1,63.1987,18.55,24.686,24.354,289.716
"1287","Urban",3,118.3376,12.664,28.709,14.551,208.248
"1288","Urban",3,74.0769,17.515,14.91,13.241,192.684
"1289","Urban",3,68.6428,18.585,15.149,13.672,208.752
"1290","Urban",3,35.2924,7.067,9.316,8.302,169.638
"1291","Urban",2,52.3528,18.304,9.828,9.797,163.855
"1292","",0,6.9589,0.376,25.868,25.075,1371.763
"1293","Urban",3,71.3671,19.07,8.593,9.217,145.182
"1294","Urban",3,68.984,18.514,11.632,11.292,169.387
"1295","Urban",3,36.1135,9.446,16.582,16.698,218.031
"1296","Urban",2,65.189,18.628,17.742,16.945,235.229
"1297","Urban",2,58.9307,18.597,21.673,21.449,242.007
"1298","Urban",3,57.692,12.224,23.214,22.848,278.966
"1299","Urban",3,64.0484,16.995,13.545,12.402,248.872
"1300","Urban",3,61.6507,17.162,9.023,8.96,197.092
"1301","Urban",3,69.9573,18.496,8.284,7.071,156.644
"1302","Urban",3,53.0322,17.38,9.795,10.479,166.085
"1303","Urban",3,38.199,15.588,18.095,18.085,233.194
"1304","Urban",3,66.8177,17.174,8.759,8.815,148.062
"1305","Urban",3,60.1765,16.227,11.747,11.985,181.325
"1306","Urban",3,54.1436,18.483,8.047,8.02,152.67
"1307","Urban",3,40.2069,11.644,20.272,20.017,286.862
"1308","Urban",3,63.8526,18.537,12.578,12.541,190.207
"1309","Urban",2,57.6443,17.741,14.643,12.547,184.839
"1310","Urban",3,47.564,13.383,20.268,19.826,277.864
"1311","Urban",3,50.4473,12.179,8.321,7.991,140.575
"1312","Urban",3,53.8879,18.574,19.693,19.555,232.106
"1313","Urban",3,65.7398,17.141,24.136,22.899,256.501
"1314","Urban",3,54.0283,18.291,30.421,29.289,325.732
"1315","Rural",2,32.8196,7.909,34.067,34.08,422.353
"1316","Urban",3,24.0049,0.58,30.369,20.582,556.533
"1317","Urban",3,71.1674,16.939,13.8,13.22,181.665
"1318","Urban",3,1.2634,0.512,50.457,43.667,3381.87
"1319","Urban",3,72.897,18.911,15.995,15.885,215.389
"1320","Rural",3,1.9378,0.506,40.788,43.844,2134.942
"1321","Urban",3,44.2102,10.087,20.508,20.329,257.925
"1322","Urban",3,58.195,18.538,16.216,16.026,231.925
"1323","Urban",3,69.0915,18.539,7.902,7.341,192.193
"1324","Urban",3,64.4021,16.643,14.149,13.31,226.301
"1325","Urban",3,62.8421,18.557,14.897,14.001,189.438
"1326","Urban",3,70.5304,18.343,6.932,6.971,185.655
"1327","Urban",3,37.0351,7.539,40.03,31.507,458.597
"1328","Urban",3,43.316,17.402,10.968,10.552,205.074
"1329","Urban",3,52.9218,15.438,13.932,14.302,228.074
"1330","Urban",3,59.9585,18.593,9.853,9.461,189.68
"1331","Urban",3,70.4796,17.331,21.221,20.902,274.398
"1332","Urban",3,33.5007,9.963,17.549,16.528,273.757
"1333","Urban",2,64.8697,18.535,16.733,17.007,257.868
"1334","Urban",2,61.7976,17.366,20.657,20.367,252.844
"1335","Urban",2,58.6008,16.481,13.059,12.831,195.494
"1336","Urban",0,47.7231,7.611,11.435,11.214,195.324
"1337","Urban",4,10.7415,0.733,28.092,26.553,562.872
"1338","Urban",3,15.7149,0.986,25.31,25.206,402.747
"1339","Urban",3,57.9803,17.601,20.673,19.713,238.453
"1340","Urban",3,72.1518,18.583,7.258,7.378,157.159
"1341","Urban",3,61.0492,18.598,19.276,18.676,260.842
"1342","Rural",2,51.4796,17.239,20.64,20.505,273.074
"1343","Urban",3,66.9044,17.071,9.156,9.508,190.713
"1344","Urban",3,45.8391,15.846,19.007,19.07,251.599
"1345","Urban",3,40.213,9.546,17.251,16.939,256.392
"1346","Urban",3,67.5516,17.271,15.839,15.419,207.518
"1347","Urban",3,43.6109,17.207,24.838,24.779,338.738
"1348","Urban",3,64.2044,13.157,15.692,15.58,216.404
"1349","Urban",3,48.4465,16.773,13.956,14.032,231.718
"1350","Urban",3,69.689,18.574,13.655,13.537,194.887
"1351","Urban",0,70.6854,18.6,18.458,18.128,235.2
"1352","Urban",3,33.1467,8.421,15.987,15.751,259.331
"1353","Urban",3,52.898,15.805,14.165,14.039,231.376
"1354","Urban",3,70.5531,18.586,14.486,13.821,205.071
"1355","Rural",3,52.8332,17.382,19.329,17.991,252.447
"1356","Urban",3,50.1657,14.097,18.745,17.824,269.479
"1357","Rural",2,69.7128,18.506,15.125,14.633,203.363
"1358","Urban",3,44.1612,11.337,23.116,22.852,303.873
"1359","Urban",3,39.1603,15.658,12.205,11.768,195.539
"1360","Urban",3,56.4545,17.31,17.668,16.662,246.741
