"ID","Distance.band","Urban.rural","Market","ISP","Headline.speed","Technology","Download.speed..Mbit.s..24.hour","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","ISP.weights","Nat.weights"
"34","1419","2563-5000","Rural",2,"TalkTalk","20","ADSL2+",1.475,1.67,1.507,0.554,0.644,0.542,53.323,0.007,56.772,0.012,1.08,0.596,0.697,0.821,43.002,"1.090%",45.759,"4.060%",2917.116,3432.037,0.95,1.23
"35","1420","1143-1367","Urban",3,"Sky","20","ADSL2+",10.575,11.557,10.479,0.991,1.071,0.992,24.211,0.001,23.651,0.003,0.51,0.299,0.486,0.311,26.027,"0.370%",26.073,"0.360%",689.356,892.009,0.86,1.01
"36","1421","1143-1367","Urban",3,"AOL","20","DSL",9.486,10.93,9.5,0.926,1.034,0.912,35.767,0.001,35.701,0.002,0.836,0.89,0.884,0.981,32,"0.060%",32.205,"0.030%",621.002,623.396,NA,1.08
"37","1422","582-763","Urban",1,"Plusnet","8","DSL",6.598,6.91,6.481,0.418,0.629,0.414,25.862,0,26.327,0,0.736,0.344,0.713,0.634,24.66,"0.020%",24.349,"0.010%",725.695,727.259,NA,NA
"38","1427","2563-5000","Urban",3,"Sky","20","ADSL2+",3.937,3.943,NA,0.658,0.714,NA,21.972,0,20.291,0,0.565,0.506,NA,NA,24.928,"0.140%",NA,"",1082.188,NA,NA,1.68
"39","1428","0-385","Urban",3,"BT","20","DSL",6.054,6.977,6.163,0.856,0.973,0.853,27.489,0.001,27.53,0.002,0.724,0.551,0.733,0.557,26.882,"0.140%",27.009,"0.100%",731.482,743.23,0,NA
"40","1429","5000+","Urban",4,"Karoo","20","ADSL2+",9.774,10.39,9.93,0.876,0.96,0.876,13.03,0.001,12.603,0.003,0.583,0.88,0.476,0.813,12.152,"0.240%",12.057,"0.550%",1201.551,1207.303,NA,0.06
"41","1433","1992-2563","Urban",1,"BT","8","DSL",3.865,3.998,3.864,0.401,0.472,0.405,35.237,0.002,36.204,0,2.97,0.893,1.715,0.94,32.463,"0.020%",33.076,"0.020%",1284.168,1258.182,NA,0.4
"42","1436","1143-1367","Urban",3,"O2","20","ADSL2+",11.072,12.005,11.088,1.1,1.183,1.106,23.508,0,23.16,0,0.492,0.626,0.662,0.622,19.823,"0.190%",20.08,"0.450%",1698.778,1673.271,1.24,0.88
"43","1437","0-385","Urban",3,"Sky","20","ADSL2+",14.644,15.311,14.468,0.906,1.001,0.908,22.406,0.001,22.389,0.002,1.125,0.412,1.132,0.543,20.999,"0.030%",21.205,"0.090%",550.318,772.299,0.72,0.52
"44","1439","2563-5000","Urban",1,"Sky","8","ADSL2+",3.091,3.393,3.019,0.93,1.015,0.915,13.926,0.001,16.969,0.003,0.532,0.446,0.533,0.423,9.598,"0.300%",13.987,"0.130%",1867.849,1877.179,NA,0.17
"45","1441","1992-2563","Urban",3,"Virgin","20","Cable",20.313,20.403,20.214,1.166,1.254,1.175,15.83,0,16.907,0,4.404,0.207,5.978,0.32,16.544,"0.080%",18.183,"0.010%",407.661,404.858,1,1.61
